_id,ジャンルID,ジャンル階層名,商品属性定義詳細グループ
64fec5ddf6969c5e728f9767,500062,CD・DVD>CD>クラシック>器楽曲,CD・レコード（クラシック）
64fec5ddf6969c5e728f9768,500074,CD・DVD>CD>クラシック>室内楽,CD・レコード（クラシック）
64fec5ddf6969c5e728f9769,500086,CD・DVD>CD>クラシック>交響曲,CD・レコード（クラシック）
64fec5ddf6969c5e728f976a,500098,CD・DVD>CD>クラシック>管弦楽,CD・レコード（クラシック）
64fec5ddf6969c5e728f976b,500110,CD・DVD>CD>クラシック>協奏曲,CD・レコード（クラシック）
64fec5ddf6969c5e728f976c,500122,CD・DVD>CD>クラシック>古楽・バロック・宗教音楽,CD・レコード（クラシック）
64fec5ddf6969c5e728f976d,500123,CD・DVD>CD>クラシック>声楽・歌曲・合唱,CD・レコード（クラシック）
64fec5ddf6969c5e728f976e,500124,CD・DVD>CD>クラシック>吹奏楽,CD・レコード（クラシック）
64fec5ddf6969c5e728f976f,500125,CD・DVD>CD>クラシック>現代音楽,CD・レコード（クラシック）
64fec5ddf6969c5e728f9770,406214,CD・DVD>CD>クラシック>オムニバス,CD・レコード（クラシック）
64fec5ddf6969c5e728f9771,101312,CD・DVD>CD>クラシック>その他,CD・レコード（クラシック）
64fec5ddf6969c5e728f9772,200551,CD・DVD>レコード>クラシック,CD・レコード（クラシック）
64fec5ddf6969c5e728f9773,112960,CD・DVD>その他,その他（CD・DVD）
64fec5ddf6969c5e728f9774,553526,CD・DVD>Blu-ray>TVドラマ>アジア,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9775,505038,CD・DVD>Blu-ray>TVドラマ>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9776,553530,CD・DVD>Blu-ray>お笑い・バラエティー>TV番組,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9777,553531,CD・DVD>Blu-ray>お笑い・バラエティー>ライブ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9778,553532,CD・DVD>Blu-ray>お笑い・バラエティー>コント,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9779,553533,CD・DVD>Blu-ray>お笑い・バラエティー>漫才,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f977a,553534,CD・DVD>Blu-ray>お笑い・バラエティー>落語,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f977b,505039,CD・DVD>Blu-ray>お笑い・バラエティー>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f977c,553551,CD・DVD>Blu-ray>アニメ>オリジナルアニメ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f977d,553563,CD・DVD>Blu-ray>アニメ>キッズアニメ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f977e,553575,CD・DVD>Blu-ray>アニメ>TVアニメ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f977f,553587,CD・DVD>Blu-ray>アニメ>海外アニメ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9780,553599,CD・DVD>Blu-ray>アニメ>劇場版,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9781,564041,CD・DVD>Blu-ray>TVドキュメンタリー>宇宙・科学,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9782,564036,CD・DVD>Blu-ray>TVドキュメンタリー>歴史・地理,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9783,564038,CD・DVD>Blu-ray>TVドキュメンタリー>動物・人体・自然,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9784,564039,CD・DVD>Blu-ray>TVドキュメンタリー>宗教,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9785,564040,CD・DVD>Blu-ray>TVドキュメンタリー>スポーツ,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9786,553527,CD・DVD>Blu-ray>TVドラマ>韓国,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9787,564042,CD・DVD>Blu-ray>TVドキュメンタリー>旅・紀行,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9788,564043,CD・DVD>Blu-ray>TVドキュメンタリー>タレント,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9789,553640,CD・DVD>Blu-ray>TVドキュメンタリー>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f978a,553644,CD・DVD>Blu-ray>趣味・実用・教養>歴史・地理,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f978b,553641,CD・DVD>Blu-ray>趣味・実用・教養>鉄道,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f978c,553642,CD・DVD>Blu-ray>趣味・実用・教養>飛行機,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f978d,553645,CD・DVD>Blu-ray>趣味・実用・教養>美術・工芸,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f978e,505041,CD・DVD>Blu-ray>アニメ>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f978f,553525,CD・DVD>Blu-ray>TVドラマ>海外,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9790,553501,CD・DVD>Blu-ray>アジア・韓国>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9791,505036,CD・DVD>Blu-ray>アジア・韓国>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9792,553495,CD・DVD>Blu-ray>洋画>ホラー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9793,564005,CD・DVD>Blu-ray>洋画>SF,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9794,553492,CD・DVD>Blu-ray>洋画>ドキュメンタリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9795,553491,CD・DVD>Blu-ray>洋画>戦争,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9796,553490,CD・DVD>Blu-ray>洋画>西部劇,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9797,505035,CD・DVD>Blu-ray>洋画>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9798,553512,CD・DVD>Blu-ray>邦画>アクション,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f9799,553518,CD・DVD>Blu-ray>邦画>ヒューマン,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f979a,553521,CD・DVD>Blu-ray>邦画>ロマンス・ラブストーリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f979b,553514,CD・DVD>Blu-ray>邦画>サスペンス・ミステリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f979c,553513,CD・DVD>Blu-ray>邦画>コメディー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f979d,553520,CD・DVD>Blu-ray>邦画>ホラー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f979e,564009,CD・DVD>Blu-ray>邦画>SF,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f979f,553517,CD・DVD>Blu-ray>邦画>ドキュメンタリー,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97a0,553516,CD・DVD>Blu-ray>邦画>戦争,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97a1,553515,CD・DVD>Blu-ray>邦画>時代劇,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97a2,505037,CD・DVD>Blu-ray>邦画>その他,DVD・Blu-ray・LD・ビデオ
64fec5ddf6969c5e728f97a3,553499,CD・DVD>Blu-ray>アジア・韓国>韓国,DVD・Blu-ray・LD・ビデオ
